platform,workload,run_id,invocation_id,mem_limit_mb,cold_start,concurrency,queue_delay_ms,duration_ms,cpu_time_ms,rss_mb,peak_rss_mb,io_read_bytes,io_write_bytes,energy_joules
docker_ubuntu22_on_ubuntu20,memory_touch,8dcbffa9-2f0c-4395-b2f3-118a0e228e73,6a455761-b6b8-437f-a627-c2861bdeac15,1024,False,1,0,340.0,340.0,73.71484375,73.71484375,0,0,8.134195
docker_ubuntu22_on_ubuntu20,memory_touch,8dcbffa9-2f0c-4395-b2f3-118a0e228e73,6170efe2-f561-40a9-b802-1fae1b0cacdc,1024,False,1,0,340.0,340.0,73.8203125,73.8203125,0,0,8.824868
docker_ubuntu22_on_ubuntu20,mixed_touch_cpu,e071bb73-4617-4c7e-8111-5665bd74c643,e4ffb69c-c785-4efe-8136-0f7de8bb06ee,128,True,1,0,350.0,340.0,73.91796875,73.91796875,0,0,11.005343
docker_ubuntu22_on_ubuntu20,mixed_touch_cpu,e071bb73-4617-4c7e-8111-5665bd74c643,073757bf-6bff-4373-a9d2-d937494d0d1c,128,False,1,0,350.0,350.00000000000006,73.94921875,73.94921875,0,0,9.142432
docker_ubuntu22_on_ubuntu20,mixed_touch_cpu,e071bb73-4617-4c7e-8111-5665bd74c643,6ce90254-3935-453c-b2b6-494f1837f165,128,False,1,0,350.0,340.0,73.921875,73.921875,0,0,9.24784
docker_ubuntu22_on_ubuntu20,mixed_touch_cpu,e071bb73-4617-4c7e-8111-5665bd74c643,75a692ca-e4c1-4099-9c38-1335ef563279,128,False,1,0,350.0,340.0,73.78125,73.78125,0,0,11.225496
docker_ubuntu22_on_ubuntu20,mixed_touch_cpu,e071bb73-4617-4c7e-8111-5665bd74c643,cab469ec-9468-4cac-96cd-26474e5345a4,128,False,1,0,350.0,350.00000000000006,73.90625,73.90625,0,0,8.109354
docker_ubuntu22_on_ubuntu20,mixed_touch_cpu,073a375e-1f75-4192-b613-3e5812de7719,2b528bbe-1cd3-4adb-958a-d47ccc69f4db,256,True,1,0,350.0,350.00000000000006,73.96875,73.96875,0,0,11.293917
docker_ubuntu22_on_ubuntu20,mixed_touch_cpu,073a375e-1f75-4192-b613-3e5812de7719,f842a71a-6910-4618-91ea-c53d5c0e7ec0,256,False,1,0,360.0,360.00000000000006,73.90625,73.90625,0,0,13.185575
docker_ubuntu22_on_ubuntu20,mixed_touch_cpu,073a375e-1f75-4192-b613-3e5812de7719,56bd48c5-f2fb-48ec-88b8-c069671a3b9a,256,False,1,0,350.0,350.00000000000006,73.8046875,73.8046875,0,0,8.337075
docker_ubuntu22_on_ubuntu20,mixed_touch_cpu,073a375e-1f75-4192-b613-3e5812de7719,b4f20135-769c-4ee0-8792-79ae584bb983,256,False,1,0,350.0,350.00000000000006,73.9296875,73.9296875,0,0,8.188029
docker_ubuntu22_on_ubuntu20,mixed_touch_cpu,073a375e-1f75-4192-b613-3e5812de7719,0075d0b3-b5e8-43d8-acb4-bc816c220cdb,256,False,1,0,350.0,350.00000000000006,73.96484375,73.96484375,0,0,9.438635
docker_ubuntu22_on_ubuntu20,mixed_touch_cpu,93e894be-c2dd-44ef-92ce-409e58f21e20,ef95268b-f3e6-4ddb-8da9-e882b99777b4,512,True,1,0,360.0,350.00000000000006,73.89453125,73.89453125,0,0,10.736056
docker_ubuntu22_on_ubuntu20,mixed_touch_cpu,93e894be-c2dd-44ef-92ce-409e58f21e20,94b74781-04e7-4da9-8b3c-520098d7c4d3,512,False,1,0,350.0,350.00000000000006,73.9453125,73.9453125,0,0,8.265177
docker_ubuntu22_on_ubuntu20,mixed_touch_cpu,93e894be-c2dd-44ef-92ce-409e58f21e20,0c7b9f2e-6909-40a5-9487-3b27bbe047cd,512,False,1,0,350.0,340.0,73.94140625,73.94140625,0,0,10.504428
docker_ubuntu22_on_ubuntu20,mixed_touch_cpu,93e894be-c2dd-44ef-92ce-409e58f21e20,8d0abcb1-7f77-4431-9312-1dc99d3039aa,512,False,1,0,350.0,340.0,73.90234375,73.90234375,0,0,11.008333
docker_ubuntu22_on_ubuntu20,mixed_touch_cpu,93e894be-c2dd-44ef-92ce-409e58f21e20,9e354a37-79d5-42f0-ace8-5742f716971e,512,False,1,0,350.0,350.00000000000006,73.8515625,73.8515625,0,0,8.606119
